Publisher,PublishingDate,SharedInfo,Title,ThumbnailURL
The Washington Post,"Feb 21, 2024, 15:00",By Isaac Arnsdorf · 365 people in the past 2 days,"Trump and allies planning militarized mass deportations, detention camps",https://files.mastodon.social/cache/preview_cards/images/088/714/693/original/0f3b37e239c60888.jpeg
TechCrunch,"Feb 22, 2024, 02:54",421 people in the past 2 days,Discord took no action against server that coordinated costly Mastodon spam attacks | TechCrunch,https://files.mastodon.social/cache/preview_cards/images/088/778/252/original/b023e6e842118a22.jpg
NBC News,"Feb 21, 2024, 03:16",By Sarah Fitzpatrick · 163 people in the past 2 days,Ex-FBI informant charged over false claims that fueled Biden impeachment inquiry due in court,https://files.mastodon.social/cache/preview_cards/images/088/667/411/original/ede6681c8be8d143.jpg
The New Republic,"Feb 20, 2024, 05:00",139 people in the past 2 days,Republicans’ Star Hunter Biden Witness Is an Epic Disaster,https://files.mastodon.social/cache/preview_cards/images/088/677/471/original/3a70a930cd7260a6.jpeg
The Hill,"Feb 21, 2024, 03:44",By Lauren Irwin · 124 people in the past 2 days,Alito renews criticism of Supreme Court’s same-sex marriage ruling in rejecting Missouri jury case,https://files.mastodon.social/cache/preview_cards/images/088/668/793/original/b93f97df8996eb41.jpg
The New York Times,"Feb 21, 2024, 05:42",By Glenn Thrush · 124 people in the past 2 days,"Ex-FBI Informant, Accused of Biden Lies, Said He Had Russian Contacts",https://files.mastodon.social/cache/preview_cards/images/088/677/810/original/d15ef1fe478779c7.jpg
BBC News,"February 22, 2024",112 people in the past 2 days,Trident missile test fails for second time in a row,https://files.mastodon.social/cache/preview_cards/images/088/677/932/original/b0f8b1511283d144.jpg
Washington Post,"Feb 21, 2024, 21:27",105 people in the past 2 days,Analysis | A new lens into the ongoing folly of Republican ‘Russia hoax’ rhetoric,https://files.mastodon.social/cache/preview_cards/images/088/750/555/original/9aa3e54d50881fd0.jpeg
The Daily Beast,"Feb 21, 2024, 04:13",By Edith Olmsted · 106 people in the past 2 days,GOP’S Biden Impeachment Witness Told Feds He Got Stories from Russian Officials,https://files.mastodon.social/cache/preview_cards/images/088/671/862/original/e3ac112448aba29a.jpeg
AP News,"Feb 22, 2024, 03:49",By STEVE KARNOWSKI · 108 people in the past 2 days,Federal judge affirms MyPillow's Mike Lindell must pay $5M in election data dispute,https://files.mastodon.social/cache/preview_cards/images/088/786/498/original/c35a45108c74cb30.jpeg
