Author,UploadTime,ActiveTimeWhenScrapped,Title,Reply
@tess,"Feb 22, 2024, 05:14",7h,"Also, like, a lot of people who want EVs live in cities and denser environments where it's expensive to live and a pain in the ass to park and maybe your $100K electric monster truck doesn't fit with their lifestyle. Stop trying to make EVs that appeal to the kind of people who would rather be rolling coal in a modified F450.",0
@woody@pch.net,"Feb 22, 2024, 04:54",7h,@tess Smart ForTwo FTW!,0
@kca@eigenmagic.net,"Feb 22, 2024, 06:43",5h,@tess every ev rebate\grant program should be limited to compact normal shaped cars (SUVs banned entirely) or (preferably) ebikes,0
@coregaze@mstdn.social,"Feb 22, 2024, 08:47",3h,@kca @tess Not everyone can ride a bike.,0
@enobacon@urbanists.social,"Feb 22, 2024, 09:10",3h,"@coregaze @kca @tess ENOUGH people can ride bikes that 90% of us don't need to be driving cars for short trips. Not everyone can drive a car. But even if they could, mandating cars as the ONLY transportation option cannot work because #GeometryHatesCars. There are bikes for people with special needs, extra cargo, passengers, #eBikes, #AdaptiveBikes, #CargoBikes that could replace over half of car trips if SOME minuscule fraction of cars (& mostly just the bad drivers) would get out of the way",0
@coregaze@mstdn.social,"Feb 22, 2024, 09:12",3h,"@enobacon @kca @tess Don't get me wrong, I own an electric bike _and_ an electric motorcycle, but my partner can't ride either of those alone due to physical limitations, and for some purposes the car is just better. I should point out that the car is a nice little reasonably sized Chevy Bolt and not some oversized freaking monster truck.",0
@enobacon@urbanists.social,"Feb 22, 2024, 09:18",3h,"@coregaze @kca @tess there are many kinds of adaptive bikes which can help people with physical limitations personally experience the benefits of e-bike rebates & bike infrastructure, via cycle. But even for people who really need a car, getting the vast majority of people onto bikes for SOME trips is going to be a net mobility win for not being stuck in traffic, less parking pressure, affordable housing, pretty much every metric that makes cities work. Not everyone can drive. #CarsRuinCities",0
@coregaze@mstdn.social,"Feb 22, 2024, 09:21",2h,"@enobacon @kca @tess Yeah, but you can't go to the store with one of those, because you can't park them anywhere. Moreover, they don't have the sort of assistive technology for people with visual agnosia that cars do, like radar-based automatic braking and pedestrian warnings, or video rear-view mirrors that can avoid dazzling a one-eyed driver. Your idea of what a physical limitation constitutes is very limited, and the technologies in modern cars for improving safety are better than bikes.",0
@coregaze@mstdn.social,"Feb 22, 2024, 09:23",2h,"@enobacon @kca @tess I'm not saying that everyone should drive all the time. What I'm saying is that for some people a car is the only way they can function in society, and it's profoundly annoying when bike people ignore that fact. And I say that myself as a bike person! I've ridden over a million miles over the last 45 years on bikes of all kinds, and I love bikes, but even I understand that there are things they just cannot do.",0
@enobacon@urbanists.social,"Feb 22, 2024, 09:27",2h,@coregaze please send me the contact info for bike people who are ignoring the mobility needs of others and I will give them a talking-to. I think more of us understand these issues than most drivers but I'll make sure of it if you see otherwise.,0
